train_episode,train_steps,median_history,env
45251,45385,1.0,0
45252,45496,1.0,3
45253,45653,1.0,3
45254,45796,1.0,1
45255,45880,1.0,1
45256,46003,1.0,1
45257,46063,1.0,0
45258,46195,1.0,1
45259,46295,1.0,1
45260,46584,1.0,12
45261,46691,1.0,0
45262,46814,1.0,1
45263,46881,1.0,0
45264,46984,1.0,1
45265,47146,1.0,0
45266,47722,1.0,0
45267,47896,1.0,1
45268,48474,1.0,1
45269,48525,1.0,0
45270,49103,1.0,1
45271,49291,1.0,1
45272,49362,1.0,0
45273,49486,1.0,1
45274,49614,1.0,1
45275,49694,1.0,0
45276,50272,1.0,1
45277,50380,1.0,0
45278,50470,1.0,0
45279,50562,1.0,1
45280,50704,1.0,0
45281,50796,1.0,0
45282,50930,1.0,1
45283,51013,1.0,0
45284,51591,1.0,1
45285,51682,1.0,1
45286,51831,1.0,1
45287,51961,1.0,0
45288,52102,1.0,0
45289,52255,1.0,0
45290,52378,1.0,0
45291,52954,1.0,0
45292,53025,1.0,0
45293,53601,1.0,0
45294,53744,1.0,1
45295,53805,1.0,1
45296,53909,1.0,0
45297,54031,1.0,1
45298,54090,1.0,0
45299,54231,1.0,0
45300,54409,1.0,0
45301,54524,1.0,1
45302,54584,1.0,1
45303,54704,1.0,0
45304,54812,1.0,1
45305,54922,1.0,0
45306,54993,1.0,0
45307,55569,1.0,0
45308,55662,1.0,0
45309,56238,1.0,0
45310,56317,1.0,0
45311,56446,1.0,1
45312,56526,1.0,0
45313,56617,1.0,0
45314,57195,1.0,1
45315,57339,1.0,1
45316,57447,1.0,0
45317,58023,1.0,0
45318,58147,1.0,1
45319,58208,1.0,0
45320,58348,1.0,0
45321,58455,1.0,1
45322,58557,1.0,1
45323,59135,1.0,1
45324,59213,1.0,1
45325,59357,1.0,1
45326,59432,1.0,1
45327,59579,1.0,1
45328,59716,1.0,0
45329,59775,1.0,0
45330,59925,1.0,1
45331,60503,1.0,1
45332,60559,1.0,1
45333,61137,1.0,1
45334,61713,1.0,0
45335,61876,1.0,1
45336,62001,1.0,1
45337,62059,1.0,1
45338,62196,1.0,0
45339,62254,1.0,0
45340,62832,1.0,1
45341,62937,1.0,0
45342,63028,1.0,1
45343,63172,1.0,1
45344,63253,1.0,0
45345,63371,1.0,1
45346,63514,1.0,0
45347,63572,1.0,0
45348,63698,1.0,1
45349,64276,1.0,1
45350,64334,1.0,1
45351,64395,1.0,0
45352,64504,1.0,0
45353,64578,1.0,0
45354,64722,1.0,1
45355,65300,1.0,1
45356,65878,1.0,1
45357,65988,1.0,0
45358,66128,1.0,0
45359,66704,1.0,0
45360,66790,1.0,1
45361,66884,1.0,1
45362,67460,1.0,0
45363,68036,1.0,0
45364,68094,1.0,0
45365,68670,1.0,0
45366,68817,1.0,1
45367,68877,1.0,0
45368,68988,1.0,0
45369,69566,1.0,1
45370,69686,1.0,0
45371,70264,1.0,1
45372,70456,1.0,1
45373,70530,1.0,0
45374,70669,1.0,0
45375,71245,1.0,0
45376,71320,1.0,0
45377,71896,1.0,0
45378,72472,1.0,0
45379,72617,1.0,0
45380,73193,1.0,0
45381,73320,1.0,1
45382,73378,1.0,1
45383,73463,1.0,0
45384,73554,1.0,0
45385,73662,1.0,0
45386,73749,1.0,0
45387,74327,1.0,1
45388,74905,1.0,1
45389,74967,1.0,0
45390,75064,1.0,0
45391,75208,1.0,1
45392,75266,1.0,1
45393,75371,1.0,0
45394,75485,1.0,1
45395,76063,1.0,1
45396,76641,1.0,1
45397,76776,1.0,1
45398,76851,1.0,0
45399,76992,1.0,0
45400,77077,1.0,1
45401,77174,1.0,1
45402,77279,1.0,1
45403,77334,1.0,1
45404,77910,1.0,0
45405,78029,1.0,0
45406,78103,1.0,0
45407,78169,1.0,1
45408,78303,1.0,1
45409,78442,1.0,0
45410,78558,1.0,1
45411,78640,1.0,1
45412,79216,1.0,0
45413,79262,1.0,0
45414,79359,1.0,1
45415,79420,1.0,0
45416,79546,1.0,1
45417,79693,1.0,1
45418,79775,1.0,1
45419,79917,1.0,1
45420,80495,1.0,1
45421,80552,1.0,1
45422,81128,1.0,0
45423,81273,1.0,0
45424,81378,1.0,0
45425,81448,1.0,1
45426,81507,1.0,1
45427,81587,1.0,0
45428,81733,1.0,1
45429,81828,1.0,0
45430,81886,1.0,0
45431,81938,1.0,0
45432,82052,1.0,1
45433,82197,1.0,0
45434,82307,1.0,0
45435,82451,1.0,1
45436,83029,1.0,1
45437,83157,1.0,1
45438,83297,1.0,0
45439,83873,1.0,0
45440,83964,1.0,0
45441,84069,1.0,0
45442,84647,1.0,1
45443,84727,1.0,0
45444,84872,1.0,0
45445,84932,1.0,0
45446,84998,1.0,1
45447,85092,1.0,0
45448,85162,1.0,0
45449,85305,1.0,0
45450,85380,1.0,0
45451,85481,1.0,0
45452,85560,1.0,0
45453,86136,1.0,0
45454,86240,1.0,1
45455,86364,1.0,1
45456,86511,1.0,1
45457,86572,1.0,1
45458,86648,1.0,0
45459,86752,1.0,0
45460,87330,1.0,1
45461,87472,1.0,1
45462,87598,1.0,0
45463,87735,1.0,1
45464,87794,1.0,0
45465,87867,1.0,1
45466,87945,1.0,0
45467,88521,1.0,0
45468,89099,1.0,1
45469,89167,1.0,1
45470,89237,1.0,0
45471,89351,1.0,0
45472,89449,1.0,1
45473,89508,1.0,1
45474,89666,1.0,0
45475,90244,1.0,1
45476,90400,1.0,0
45477,90503,1.0,1
45478,90562,1.0,1
45479,90637,1.0,1
45480,90766,1.0,1
45481,90855,1.0,1
45482,90914,1.0,0
45483,91044,1.0,0
45484,91137,1.0,1
45485,91242,1.0,0
45486,91314,1.0,1
45487,91387,1.0,0
45488,91468,1.0,0
45489,91610,1.0,0
45490,91675,1.0,0
45491,91735,1.0,0
45492,92313,1.0,1
45493,92438,1.0,1
45494,92596,1.0,0
45495,92709,1.0,0
45496,92821,1.0,1
45497,92929,1.0,0
45498,93505,1.0,0
45499,94083,1.0,1
45500,94177,1.0,0
45501,94280,1.0,0
45502,94352,1.0,1
45503,94412,1.0,0
45504,94540,1.0,1
45505,94598,1.0,1
45506,94741,1.0,1
45507,94800,1.0,0
45508,94884,1.0,0
45509,95030,1.0,1
45510,95093,1.0,0
45511,95224,1.0,1
45512,95314,1.0,0
45513,95452,1.0,0
45514,95516,1.0,0
45515,96094,1.0,1
45516,96239,1.0,1
45517,96817,1.0,1
45518,96877,1.0,1
45519,97020,1.0,0
45520,97129,1.0,0
45521,97243,1.0,0
45522,97821,1.0,1
45523,97939,1.0,1
45524,98083,1.0,1
45525,98205,1.0,0
45526,98266,1.0,1
45527,98380,1.0,1
45528,98447,1.0,0
45529,98535,1.0,1
45530,99111,1.0,0
45531,99251,1.0,0
45532,99310,1.0,0
45533,99386,1.0,0
45534,99513,1.0,1
45535,99570,1.0,1
45536,99642,1.0,0
45537,99747,1.0,1
45538,99851,1.0,0
45539,99965,1.0,0
45540,100543,1.0,1
45541,100615,1.0,0
45542,100698,1.0,2
45543,100864,1.0,2
45544,100998,1.0,1
45545,101128,1.0,1
45546,101199,1.0,0
45547,101777,1.0,1
45548,102438,1.0,2
45549,102496,1.0,0
45550,102624,1.0,2
45551,102726,1.0,1
45552,102864,1.0,0
45553,102958,1.0,2
45554,103047,1.0,2
45555,103209,1.0,2
45556,103787,1.0,1
45557,103915,1.0,1
45558,104038,1.0,1
45559,104114,1.0,0
45560,104222,1.0,0
45561,104346,1.0,0
45562,104483,1.0,0
45563,104589,1.0,1
45564,105167,1.0,1
45565,105293,1.0,1
45566,105954,1.0,2
45567,106174,1.0,2
45568,106752,1.0,1
45569,106857,1.0,0
45570,106995,1.0,0
45571,107119,1.0,1
45572,107780,1.0,2
45573,107875,1.0,2
45574,108019,1.0,1
45575,108597,1.0,1
45576,108678,1.0,2
45577,108861,1.0,3
45578,108995,1.0,3
45579,109656,1.0,2
45580,109766,1.0,3
45581,110427,1.0,2
45582,110533,1.0,2
45583,110696,1.0,2
45584,110815,1.0,3
45585,110873,1.0,1
45586,110965,1.0,2
45587,111626,1.0,2
45588,112300,1.0,3
45589,112459,1.0,2
45590,113133,1.0,3
45591,113218,1.0,2
45592,113383,1.0,2
45593,114044,1.0,2
45594,114188,1.0,1
45595,114294,1.0,1
45596,114427,1.0,1
45597,114671,1.0,2
45598,114756,1.0,1
45599,114841,1.0,1
45600,115502,1.0,2
45601,115628,1.0,2
45602,116302,1.0,3
45603,116963,1.0,2
45604,117637,1.0,3
45605,117800,1.0,2
45606,118461,1.0,2
45607,118545,1.0,3
45608,119206,1.0,2
45609,119352,1.0,2
45610,120013,1.0,2
45611,120196,1.0,3
45612,120339,1.0,2
45613,120464,1.0,1
45614,120607,1.0,1
45615,120689,1.0,2
45616,120845,1.0,3
45617,120968,1.0,1
45618,121103,1.0,3
45619,121777,1.0,3
45620,122451,1.0,3
45621,122574,1.0,2
45622,122678,1.0,1
45623,123352,1.0,3
45624,123454,1.0,2
45625,123638,1.0,3
45626,123696,1.0,1
45627,124357,1.0,2
45628,124490,1.0,1
45629,124652,1.0,2
45630,124770,1.0,1
45631,124856,1.0,1
45632,125530,1.0,3
45633,125661,1.0,3
45634,125784,1.0,2
45635,125842,1.0,1
45636,126516,1.0,3
45637,126607,1.0,3
45638,126754,1.0,1
45639,126891,1.0,3
45640,127552,1.0,2
45641,128213,1.0,2
45642,128380,1.0,2
45643,128468,1.0,2
45644,129142,1.0,3
45645,129301,1.0,2
45646,129962,1.0,2
45647,130623,1.0,2
45648,131284,1.0,2
45649,131945,1.0,2
45650,132049,1.0,1
45651,132178,1.0,1
45652,132312,1.0,3
45653,132455,1.0,2
45654,132637,1.0,3
45655,132784,1.0,1
45656,132891,1.0,3
45657,133565,1.0,3
45658,133732,1.0,2
45659,133807,1.0,3
45660,134481,1.0,3
45661,135142,1.0,2
45662,135803,1.0,2
45663,136477,1.0,3
45664,137055,1.0,1
45665,137716,1.0,2
45666,138390,1.0,3
45667,138968,1.0,1
45668,139629,1.0,2
45669,139685,1.0,1
45670,139785,1.0,2
45671,139929,1.0,1
45672,140043,1.0,1
45673,140621,1.0,1
45674,140787,1.0,2
45675,140888,1.0,1
45676,141562,1.0,3
45677,142223,1.0,2
45678,142884,1.0,2
45679,143069,1.0,3
45680,143743,1.0,3
45681,143889,1.0,1
45682,144563,1.0,3
45683,144692,1.0,1
45684,145366,1.0,3
45685,145944,1.0,1
45686,146038,1.0,3
45687,146131,1.0,3
45688,146296,1.0,2
45689,146874,1.0,1
45690,147548,1.0,3
45691,148222,1.0,3
45692,148896,0.9444444179534912,3
45693,149474,1.0,1
45694,149549,1.0,1
45695,149693,1.0,1
45696,149744,1.0,1
45697,149908,1.0,2
45698,150054,1.0,2
45699,150728,0.8888888955116272,3
45700,151389,1.0,2
45701,151516,0.9444444179534912,3
45702,151622,1.0,1
45703,151686,1.0,1
45704,152360,0.8888888955116272,3
45705,152524,1.0,2
45706,152681,1.0,3
45707,152823,1.0,1
45708,153497,0.9444444179534912,3
45709,153594,1.0,1
45710,153780,0.9444444179534912,3
45711,153916,1.0,1
45712,154577,1.0,2
45713,154680,1.0,1
45714,155258,1.0,1
45715,155932,0.8888888955116272,3
45716,156053,1.0,2
45717,156148,0.9444444179534912,3
45718,156325,1.0,3
45719,156471,1.0,1
45720,156572,1.0,2
45721,156677,1.0,2
45722,157351,0.9444444179534912,3
45723,158025,0.8888888955116272,3
45724,158129,1.0,1
45725,158803,0.8333333730697632,3
45726,158956,1.0,2
45727,159121,1.0,2
45728,159246,1.0,1
45729,159338,0.8888888955116272,3
45730,159466,0.9444444179534912,3
45731,160127,1.0,2
45732,160801,0.8888888955116272,3
45733,160911,1.0,2
45734,161056,1.0,1
45735,161143,1.0,2
45736,161254,1.0,1
45737,161435,0.9444444179534912,3
45738,162096,1.0,2
45739,162289,0.9444444179534912,3
45740,162963,0.8888888955116272,3
45741,163637,0.8888888955116272,3
45742,164215,1.0,1
45743,164290,0.9444444179534912,3
45744,164951,1.0,2
45745,165080,1.0,1
45746,165741,1.0,2
45747,166402,1.0,2
45748,167076,0.8888888955116272,3
45749,167164,0.9444444179534912,3
45750,167248,1.0,2
45751,167398,1.0,1
45752,167541,1.0,1
45753,167653,1.0,1
45754,167746,1.0,2
45755,167931,1.0,3
45756,168060,1.0,1
45757,168638,1.0,1
45758,168774,1.0,1
45759,168907,1.0,3
45760,169069,1.0,2
45761,169247,1.0,3
45762,169921,1.0,3
45763,170595,0.9444444179534912,3
45764,171256,1.0,2
45765,171930,0.8888888955116272,3
45766,172604,1.0,3
45767,172691,1.0,2
45768,172854,1.0,2
45769,173040,0.9444444179534912,3
45770,173701,1.0,2
45771,174375,0.8888888955116272,3
45772,175049,0.8888888955116272,3
45773,175193,1.0,1
45774,175367,0.8888888955116272,3
45775,176041,0.8888888955116272,3
45776,176151,0.8888888955116272,3
45777,176265,1.0,1
45778,176395,1.0,2
45779,177069,0.8888888955116272,3
45780,177743,0.8888888955116272,3
45781,178012,0.8888888955116272,3
45782,178107,0.8888888955116272,3
45783,178186,1.0,2
45784,178282,0.9444444179534912,3
45785,178430,1.0,1
45786,178593,1.0,2
45787,179267,0.8888888955116272,3
45788,179941,0.8888888955116272,3
45789,180078,0.8888888955116272,3
45790,180752,0.8888888955116272,3
45791,181413,1.0,2
45792,181501,1.0,2
45793,181648,0.8888888955116272,3
45794,182322,0.8888888955116272,3
45795,182424,1.0,2
45796,182553,1.0,1
45797,183227,0.8888888955116272,3
45798,183376,1.0,1
45799,183434,1.0,1
45800,184095,1.0,2
45801,184170,1.0,1
45802,184334,1.0,2
45803,184449,0.8888888955116272,3
45804,184631,0.8888888955116272,3
45805,184760,1.0,2
45806,184901,1.0,2
45807,185008,1.0,1
45808,185156,1.0,1
45809,185817,1.0,2
45810,186009,0.9444444179534912,3
45811,186587,1.0,1
45812,187261,0.8888888955116272,3
45813,187431,1.0,2
45814,188092,1.0,2
45815,188235,1.0,1
45816,188334,1.0,2
45817,188430,1.0,2
45818,188536,1.0,1
45819,188698,0.9444444179534912,3
45820,188861,1.0,2
45821,189522,1.0,2
45822,189588,1.0,1
45823,189774,1.0,3
45824,189917,1.0,1
45825,190044,1.0,1
45826,190138,1.0,3
45827,190271,1.0,2
45828,190399,1.0,1
45829,190977,1.0,1
45830,191164,1.0,3
45831,191742,1.0,1
45832,192416,1.0,3
45833,192518,1.0,3
45834,193096,1.0,1
45835,193162,1.0,1
45836,193836,1.0,3
45837,194510,1.0,3
45838,194624,1.0,3
45839,194774,1.0,3
45840,194914,1.0,2
45841,195049,1.0,3
45842,195169,1.0,1
45843,195843,1.0,3
45844,195990,1.0,1
45845,196110,1.0,1
45846,196296,1.0,3
45847,196344,1.0,1
45848,196480,1.0,1
45849,196641,1.0,2
45850,197315,1.0,3
45851,197989,1.0,3
45852,198175,1.0,3
45853,198307,1.0,3
45854,198382,1.0,3
45855,198508,1.0,1
45856,198675,1.0,2
45857,199349,1.0,3
45858,200010,1.0,2
45859,200156,1.0,3
45860,200830,1.0,3
45861,201491,1.0,2
45862,202069,1.0,1
45863,202212,1.0,1
45864,202873,1.0,2
45865,203006,1.0,1
45866,203680,1.0,3
45867,203844,1.0,2
45868,203920,1.0,2
45869,204014,1.0,2
45870,204103,1.0,2
45871,204249,1.0,1
45872,204357,1.0,3
45873,204545,1.0,3
45874,204710,1.0,2
45875,204818,1.0,3
45876,205492,1.0,3
45877,205633,1.0,3
45878,205758,1.0,3
45879,206432,1.0,3
45880,207106,1.0,3
45881,207767,1.0,2
45882,208441,1.0,3
45883,209102,1.0,2
45884,209216,1.0,2
45885,209359,1.0,1
45886,210033,1.0,3
45887,210162,1.0,1
45888,210823,1.0,2
45889,210907,1.0,2
45890,211485,1.0,1
45891,211548,1.0,1
45892,211727,1.0,3
45893,212401,1.0,3
45894,212512,1.0,3
45895,212674,1.0,2
45896,212819,1.0,3
45897,213493,1.0,3
45898,214167,1.0,3
45899,214841,1.0,3
45900,214954,1.0,3
45901,215628,1.0,3
45902,216206,1.0,1
45903,216351,1.0,1
45904,216475,1.0,2
45905,217149,1.0,3
45906,217727,1.0,1
45907,218401,1.0,3
45908,218586,1.0,3
45909,218747,1.0,3
45910,218926,1.0,3
45911,219088,1.0,2
45912,219194,1.0,1
45913,219321,1.0,1
45914,219436,1.0,3
45915,220110,1.0,3
45916,220297,1.0,3
45917,220435,1.0,3
45918,220579,1.0,1
45919,220655,1.0,3
45920,220933,1.0,3
45921,221607,1.0,3
45922,222268,1.0,2
45923,222417,1.0,3
45924,223091,1.0,3
45925,223174,1.0,2
45926,223848,1.0,3
45927,223989,1.0,1
45928,224085,1.0,2
45929,224759,1.0,3
45930,224835,1.0,1
45931,225509,1.0,3
45932,225653,1.0,1
45933,225831,1.0,3
45934,226492,1.0,2
45935,226656,1.0,2
45936,226755,1.0,2
45937,227416,1.0,2
45938,227552,1.0,1
45939,227691,1.0,2
45940,228365,1.0,3
45941,228438,1.0,2
45942,229099,1.0,2
45943,229231,1.0,1
45944,229370,1.0,1
45945,229450,1.0,1
45946,229595,1.0,1
45947,229725,1.0,2
45948,229906,1.0,3
45949,230484,1.0,1
45950,230574,1.0,2
45951,230694,1.0,1
45952,230848,1.0,3
45953,231031,1.0,3
45954,231692,1.0,2
45955,231787,1.0,1
45956,231917,1.0,3
45957,232082,1.0,2
45958,232176,1.0,2
45959,232269,1.0,1
45960,232373,1.0,1
45961,232516,1.0,1
45962,232562,1.0,1
45963,233223,1.0,2
45964,233388,1.0,2
45965,233545,1.0,3
45966,233608,1.0,2
45967,233749,1.0,1
45968,233937,1.0,3
45969,234067,1.0,1
45970,234172,1.0,1
45971,234833,1.0,2
45972,235494,1.0,2
45973,235600,1.0,1
45974,235677,1.0,3
45975,235801,1.0,1
45976,235960,1.0,3
45977,236056,1.0,2
45978,236730,1.0,3
45979,236813,1.0,1
45980,237487,1.0,3
45981,237630,1.0,1
45982,238304,1.0,3
45983,238470,1.0,2
45984,239131,1.0,2
45985,239274,1.0,1
45986,239348,1.0,3
45987,239526,1.0,3
45988,240200,1.0,3
45989,240778,1.0,1
45990,241439,1.0,2
45991,241568,1.0,2
45992,241733,1.0,2
45993,241804,1.0,2
45994,242465,1.0,2
45995,242650,1.0,3
45996,242787,1.0,3
45997,243448,1.0,2
45998,244109,1.0,2
45999,244783,1.0,3
46000,245457,1.0,3
46001,245586,1.0,1
46002,246164,1.0,1
46003,246838,1.0,3
46004,246996,1.0,3
46005,247081,1.0,2
46006,247231,1.0,5
46007,247931,0.800000011920929,4
46008,248631,0.800000011920929,4
46009,249305,1.0,3
46010,249438,0.800000011920929,4
46011,249618,1.0,5
46012,250320,1.0,5
46013,250409,0.8999999761581421,4
46014,250570,1.0,4
46015,250661,1.0,5
46016,250770,1.0,4
46017,250911,1.0,4
46018,251008,1.0,5
46019,251708,1.0,4
46020,252408,1.0,4
46021,252557,1.0,5
46022,252685,1.0,4
46023,253387,1.0,5
46024,253569,1.0,3
46025,253713,1.0,5
46026,254415,1.0,5
46027,254527,1.0,4
46028,254713,1.0,3
46029,254839,1.0,5
46030,254997,1.0,4
46031,255671,1.0,3
46032,255820,1.0,4
46033,256522,1.0,5
46034,257222,1.0,4
46035,257313,1.0,3
46036,257987,1.0,3
46037,258153,1.0,4
46038,258853,1.0,4
46039,259553,1.0,4
46040,260227,1.0,3
46041,260379,1.0,4
46042,260562,1.0,3
46043,260719,1.0,4
46044,260897,1.0,3
46045,261571,1.0,3
46046,261716,1.0,5
46047,261852,1.0,3
46048,262526,1.0,3
46049,263200,1.0,3
46050,263299,1.0,5
46051,264001,1.0,5
46052,264139,1.0,3
46053,264839,1.0,4
46054,265020,1.0,4
46055,265694,1.0,3
46056,265805,1.0,4
46057,266505,1.0,4
46058,267205,1.0,4
46059,267905,1.0,4
46060,268053,1.0,5
46061,268727,1.0,3
46062,268857,1.0,4
46063,268987,1.0,3
46064,269180,1.0,4
46065,269361,1.0,3
46066,269433,1.0,4
46067,269591,1.0,4
46068,270265,1.0,3
46069,270399,1.0,4
46070,270575,1.0,4
46071,270712,1.0,3
46072,270823,1.0,5
46073,270920,1.0,5
46074,271064,1.0,5
46075,271764,1.0,4
46076,272438,1.0,3
46077,273138,1.0,4
46078,273257,1.0,5
46079,273446,1.0,3
46080,273595,1.0,5
46081,273680,1.0,3
46082,273832,1.0,4
46083,273979,1.0,5
46084,274679,1.0,4
46085,274808,1.0,4
46086,275508,1.0,4
46087,275655,1.0,4
46088,275785,1.0,4
46089,276459,1.0,3
46090,277159,1.0,4
46091,277861,1.0,5
46092,278561,1.0,4
46093,278741,1.0,3
46094,279441,1.0,4
46095,279550,1.0,4
46096,279703,1.0,5
46097,279883,1.0,3
46098,280583,1.0,4
46099,280667,1.0,3
46100,280760,1.0,3
46101,280905,1.0,3
46102,281027,1.0,4
46103,281172,1.0,5
46104,281349,1.0,3
46105,281449,1.0,4
46106,282123,1.0,3
46107,282797,1.0,3
46108,283497,1.0,4
46109,284197,1.0,4
46110,284286,1.0,3
46111,284449,1.0,4
46112,285149,1.0,4
46113,285823,1.0,3
46114,286525,1.0,5
46115,286629,1.0,5
46116,287329,1.0,4
46117,288003,1.0,3
46118,288677,1.0,3
46119,288825,1.0,5
46120,288969,1.0,3
46121,289671,1.0,5
46122,289772,1.0,5
46123,290446,1.0,3
46124,291146,1.0,4
46125,291279,1.0,3
46126,291979,1.0,4
46127,292679,1.0,4
46128,293353,1.0,3
46129,293541,1.0,3
46130,294241,1.0,4
46131,294941,0.8999999761581421,4
46132,295095,1.0,4
46133,295769,1.0,3
46134,296471,1.0,5
46135,296619,1.0,5
46136,296766,1.0,4
46137,297440,1.0,3
46138,298140,0.8999999761581421,4
46139,298842,1.0,5
46140,299025,1.0,3
46141,299114,1.0,3
46142,299788,1.0,3
46143,299948,1.0,4
